time,event,target,perpetrator,itype raw,institution,discipline,oldq,response,punishment,career,mental,life,comments,perpgender,oldlabel,someresponse,gendersquash,oldcleandiscipline,coarsediscipline,cleantarget,coarsetarget,itype,oldinstitution,label,cleaninstitution,cleandiscipline
3/11/2018 14:32:27,"The professor will lean back on his reclining chair, showing his groin to me, while I am discussing work with him. Then he would put his hand on his groin to adjust something. I had to look at his face and pretend that I did not see it.",Colleague,Professor,Elite Institution/Ivy League,,Business,,,,I tolerated it so that I can get my papers published and the project wrapped up. I spent years on the project. The cost was great for me.,,,,Man,43170605868,no,Other,Business,Business,Colleague,Colleague,Elite Institution/Ivy League,,12,,Business
3/9/2018 13:17:45,"Tenured professor made repeated sexual/romantic advances to a friend, stuff like inviting her out for drinks ""with other people"" and then -- surprise! -- it's just the two of them, trying to kiss her, getting sloppy drunk for plausible deniability.",graduate student,tenured prof,Elite Institution/Ivy League,UC Berkeley,classics,,none,none,My friend left academia,,My friend left academia,,Man,43168553999,no,Other,Classics,Classics,Graduate Student,Graduate,Elite Institution/Ivy League,UC Berkeley,13,UC Berkeley,Classics
3/9/2018 13:15:31,Full professor began an affair with a first-year graduate student and ultimately married her.  She left the program.  ,Graduate student,Full professor,Elite Institution/Ivy League,Berkeley,political science,,removed faculty member from prize committees when his girlfriend was applying for money,none,minimal on mine; significant effects on the girlfriend (though the relationship was consensual); generally contributed to a gross environment in the dept where  this prof's female students needed to worry about being perceived as having inappropriate relationships with him.,,,,Man,43168552442,yes,Other,Political Science,Political,Graduate Student,Graduate,Elite Institution/Ivy League,Berkeley,14,UC Berkeley,Political Science
3/9/2018 7:14:01,"Sexual comments made by department chair and senior male professors about visitors and colleagues (even in writing in emails) and gender-based critiques during reviews and after teaching observations (not ""warm"" enough; not ""enchanting"" enough; ""dull content but nice smile""; repeatedly called ""girlfriend"" by a senior prof; repeated instances of gender-based bullying and hostile treatment not experienced by junior male peers)",Assistant Prof (myself and two other women who experienced this treatment),Department Chair and senior professor,R2,,English,,"Awaiting Dean's response. We hope the Chair is not renewed after first term, but he should be removed now. No visible consequences for the other prof involved.",May be removed as Dept Chair.,Chair tried to push me out in my 4th-year review but failed. He made my life miserable. I thought about leaving academia. Almost left the institution for another job in my 4th year. Decided to stick my neck out for other junior women who were being harassed since I didn't care if I stayed in academia anyway. The militaristic power imbalances permit bullying and abuse.,Insomnia and difficulty concentrating. Entered therapy.,I avoid the abusers as much as I can and relocated my office hours to another building so I don't have to see them.,,Man,43168301406,yes,Other,English,English,Assistant Prof (myself and two other women who experienced this treatment),Assistant,R2,,15,,English
3/8/2018 11:38:52,"I finished my PhD in November 2017. I for the first 3 years of it, I refused sustained and strenuous 'romantic advances' by two senior male members of staff in my department: one my PhD supervisor, and the other the Head of Department. The (I suppose) inevitable consequence was that I found myself excluded from teaching (despite previously great feedback), from giving research presentations and from the department social life. What was really shocking was the part played by their senior female colleague, then Head of Teaching and my supervisor’s wife's best friend, who became openly hostile towards me. It was so distressing and toxic that I became really depressed, and I went to the University's counselling service for advice, but they were no help at all. 

It actually got worse over the last two years of my programme, because my supervisor totally withdrew supervision - he put ridiculous conditions on meeting, ignored my emails, lied, gaslighted, belittled me and my work, and didn't read my thesis at all. I tried to get my second supervisor to take over, but she pulled away too, after speaking to Supervisor No. 1, and she didn't read my thesis in the months before submission either. I didn't take any formal action, for which I'll always kick myself. This was because the counselling service had been so useless, because I hoped that by keeping a low profile I'd limit the damage and stand a chance of getting references, and because my supervisor’s behaviour had become so unrestrained that I had begun to suspect he might be a psychopath. I'm so traumatised and angry. But the fact is that in that situation you have to focus every ounce of survival on getting the PhD. The system does not support students against staff where there is such a power differential, and in any case those students have no control over what is being said about them in the staff room. ",PhD student,One was my PhD supervisor; the other was the Head of Department,Other R1,,Arts (music),,"Three of my department's most senior staff were involved in it. The counselling service did not want to get involved, despite my email evidence. I felt that the only action I could have taken would have been to move to a different institution, but I was a single parent and so that was out of the question.",None,"I cannot ask either of my supervisors for a reference, which is really distressing since I was a popular teacher, gave wholeheartedly of my time before it all fell apart, and produced a worthwhile dissertation. I have not yet managed to get a job.","I became more depressed than I would have believed possible. My PhD was a horrible, horrible time and I still feel thoroughly traumatised and angry - I feel ill to think about it. ","The practical obstacles of trying to get work against such odds are significant, if not insurmountable. I have no idea what was being said about me, and in any field that sort of thing is hard to defeat, particularly added to the odds that we all face these days. These people set out to destroy my chances in academia because I didn't want a relationship with either of them. It's horrific that anyone is happy to wield that power over anyone, and that there are still set-ups where it's possible for them to get away with it.",,"Principally two men, backed up by a woman ",43167485324,yes,Other,Arts (Music),Arts,Phd Student,Phd,Other R1,,16,,Art;Music
3/7/2018 14:15:22,"I was at a conference dinner at a restaurant and assigned to sit next to a professor I knew from a different university. We had been at a conference organized by the same agency once before and he'd been very supportive of my research then. He again expressed strong support for my research agenda, and we discussed it in great detail for over the next hour or two. Towards the end of the conversation, however, he began to ask personal questions. He asked me how old I was, if I had a boyfriend, invited me to drink with him in bars when I came to his city, and hugged me as we left the dinner. He may have been drunk because he nearly followed me into the women's bathroom before someone pointed out the correct way to the exit. I felt stunned and a little afraid. I have since been at a conference with him again and made sure to avoid him the whole time. He did not acknowledge me or attempt to talk to me again.",Graduate student,Senior faculty at a different university,Other Research Agency,,Economics,,"I did not tell the organizers of the conference about the incident partly because he is very close to the organizers and their agency provides one of my funding sources. When I saw that this professor and I were both invited to another unrelated conference, I let the organizers of that conference know about the incident. They assured me they would watch out for me and make sure no incident occurred.",None,"So far, none","As the conversation progressed and took a personal turn, my stomach began to sink. Until that moment, I felt I was speaking to a mentor, someone I intellectually looked up to, who valued my work and my ideas. Towards the end of the conversation I began to doubt whether anything that was said before about the quality of my research had any meaning whatsoever. I felt like I had gone from a genuine colleague to someone reduced to my sex.","This person works in my subfield, and I will likely have to be at the same conferences as him again and again. Since I plan to avoid him so as not to have the situation arise again, I may miss out on connections that could be made that may be useful for my career. ",,Man,43166594010,yes,Other,Economics,Economics,Graduate Student,Graduate,Other Research Agency,,17,,Economics
3/6/2018 19:48:23,Propositioned,PhD student,"Full professor, project leader",Elite Institution/Ivy League,UC Berkeley ,Social Science,,Indifference,None,Minimal - he wasn’t in my department or field,"Disbelief, Anger",Made me never want to work anywhere near him,,Man,43165825266,yes,Other,Social Science,Social,Phd Student,Phd,Elite Institution/Ivy League,UC Berkeley ,18,UC Berkeley,Social Science
3/6/2018 9:40:30,"Professor I was interested in working with and needed for my committee constantly tried to get my alone, see me socially, stroked my face, and sent me a lewd email.",Senior PhD candidate,Retired but still active Professor Emeritus,Elite Institution/Ivy League,University of Michigan,History/Law,,"I reported to a trusted mentor. She did not follow the University mandatory report procedures but rather, without my permission, shared the information with the Dir. of Graduate Studies and Chairwoman. The Chairwoman, a so-called feminist scholar, told me the scholar had donated a lot of money to the department and was probably just getting old/senile (in which case, why was he allowed to continue to sit on committees?). I left it at that, was too scared to escalate because I needed to finish my degree. ",None,Much wasted effort in trying to work with this professor.  Burnt bridges/strained relations with my mentor and the departmental leadership because of their defense of him and violation of University procedures regarding mandatory reporting. Unable to look at his comments on my work. ,"Major emotional distress--involuntary crying when I would walk past his building; persistent fear he would show up at my house. Lack of trust of authority figures and those who claim to be ""progressive"" or ""feminist"" in their scholarship but behave very differently in practice. Especially because my confidentiality was violated.",Did not apply for a fellowship I wanted because of his association. Did not apply for academic jobs because of difficulty in getting letters under these conditions. ,I am guessing this man is listed in other entries here. ,Man,43165403124,yes,Other,History/Law,History,Senior Phd Candidate,Senior,Elite Institution/Ivy League,University of Michigan,19,Michigan,History;Law
3/6/2018 8:28:44,"My graduate school professor had long been mildly inappropriate with me (comments on my body, disparaging remarks about my partner, wanting to discuss sexual preferences) but I always laughed it - and the other rumors and complaints against him - off as him being my ""friendly grad school professor"". Until he raped me, after offering me a very lucrative consulting job at his company. ",Grad student (after graduation),Tenured professor ,Small Liberal Arts College,,Business,,,,,Significant. Still in therapy (two years later). Still have panic attacks and flashbacks. ,Significant. Feel very limited knowing that he would have been one of my strongest references in a very niche business market and also in a specific geographical region. ,,Man,43165353293,no,Other,Business,Business,Grad student (after graduation),Grad,Small Liberal Arts College,,20,,Business
3/5/2018 18:52:27,"I was an undergraduate doing an independent study (on the philosophy of evil in the writings of Avicenna.) It was emphasized that as an undergraduate I was extraordinarily lucky to have this opportunity. I had to meet privately with the professor. It was a small office. We would sit at his desk and he would keep moving in on me until I was pinned to the wall. He would lean, brush, rub, and touch all the time, with many parts of his body. He doodled pornographic pictures on my notes. He would make odd noises. He set out cushions on the floor and tried to get me to sit there (I wouldn't) and stay the night (I didn't.) He would talk about my looks/body/hair. I usually dressed 'like a boy' in baggy work shirts, sweaters, and jeans anyway but I started wearing more layers and tying my hair up. I was inexperienced and naive. I kept to my studies and did not have girl friends to ask about problems. My Mom was working two jobs so I could go to college and I did not want to worry her. I just tried to ignore him, pretend it was not happening, and tried to do my work. It was the 1960s and there was no context to say anything. One day I went to the office and he swiveled in his chair and greeted me by wiggling a big banana which he was holding in his crotch. I ran away.  When I calmed down, I told my advisor , who had arranged the project, that I did not know what to do - I did not want to disappoint him or create any awkwardness, but I was upset. (I later heard rumors that this professor recruited students for threesomes with his wife, also a professor. I recalled that a few times they both showed up at my dorm dining hall - he knew which dorm I was in - like they had been waiting for me and then invited themselves to have dinner with me. It seemed odd at the time ... but it might have meant nothing.)",Undergraduate,"Professor, director of my independent study project.",Other R1,Harpur College SUNY Binghamton,"I was an Anthropology Major, putting together a specialization in religious studies. This was in the Philosophy Department",,"I was given the option of continuing the independent study project with the professor, entering a regular class mid semester with the same professor (not having done the classwork, homework, or tests), or getting an F for the semester. I was on scholarship and work-study and had to graduate on time. I entered the class.  ","None that I am aware of. I Googled him recently. He has bounced around the SUNY system. He is quite eminent in his field. His student evaluations note his ""creepiness to women students"" - he must be in his 80s!","I did not pursue an academic career. This experience played a role, but the deciding factor was bias against women in my Major department (Anthropology). I was explicitly warned against continuing (by male graduate students who saw how women students were treated and how women applicants for positions were badly treated and not hired.) I completed a semester of graduate school at Binghamton, but was not brave, confident, or imaginative enough to think I could overcome the bias (which was there in my brief experience - it was mainly the chair of the department who seemed to see field work and teaching as for men.)","After a few years, I thought I had entirely put it out of my mind. It seemed a relatively minor thing - I wasn't attacked or raped, I got a passing grade. Then the professor turned up at another institution I was working at (in administration) and it was upsetting. I never talked about it. It was there in the back of my mind, but I did not think much about it for decades. When #MeToo happened it came back, with a context and designation, and I have been sad about it - as an old woman thinking back to the young woman I was. What a creep this guy is and how I was forced to sit in his class and see him twice a week and worry about my grade for the semester. And that he seems to have just kept on. ","I was very very lucky in finding a career in curatorial work in museums and then as a conservator. I got to do research, write papers, study, and develop technical skills in this niche between art and science. So changing my trajectory, although at the time was frightening, worked out very well. ","It is horrible that this man has persisted in treating students, women and men, badly.  Thank you for allowing me to contribute. I don't participate in social media, but I did write to the Chronicle of Higher Education recently.",Man,43164786419,yes,Other,"I Was An Anthropology Major, Putting Together A Specialization In Religious Studies. This Was In The Philosophy Department",I,Undergraduate,Undergraduate,Other R1,Harpur College SUNY Binghamton,21,Harding University in Searcy Arkansas,Anthropology;Philosophy
3/5/2018 15:13:01,"I was at a symposium (a few weeks before graduate school started) with members of the IU Anthropology community. The first night, the professor approached me and asked me to get a drink with him, he insisted on buying the drink. It was just him and I for the majority of the night, and I was super uncomfortable after leaving the hotel bar. The next night, he asked me to go downtown with him and play pool and get drinks with him, to which I declined. Now that I've started graduate school, I see him from time to time and he makes me very uncomfortable. ",Graduate Student,"Full Professor, one of the, if not the only, Native American professor at IU, former director of FNECC ",Other R1,Indiana University,Anthropology ,,N/A,None yet,Changing my outside minor ,"Panic attacks, imposter syndrome, distrust of senior male academics ","Being uncomfortable at departmental events, especially without a trusted male present ",,Man,43164634034,yes,Other,Anthropology ,Anthropology,Graduate Student,Graduate,Other R1,Indiana ,22,Indiana,Anthropology
3/5/2018 14:41:39,"1) Genius-but-troubled senior professor in my department (I was in my mid-20s, he was a white dude in his late 50s) invited me to lunch to ""talk about a project"" in my first year of grad school. Instead, he bragged about his ""crazy"" life and asked me if I had a boyfriend. I lied and said yes (years later I found out he always invited young, non-white female grad students to the same restaurant as a prelude to try to date them). Over the next year or so, he kept up a flirty banter and because he was on my committee and I was writing part of my MA thesis under his supervision, I went along (he had also started openly dating another ""ethnic"" female grad student, younger than me). Then one day, at a party at another faculty member's home, I made a joke and he flipped out: told me to f**k off in front of other grad students, grabbed my arm and shook me. I was shocked but pretended to take it lightly because everyone knew he was ""crazy"". The following week during class he calls me down to his office and proceeds to scream at me for 20 minutes while pacing up and down the office looking furious. He called me a ""spoiled brat"", who the hell did I think I was, etc. It made no sense but I was terrified and thought he was going to hit me. I kept looking at the door to run out. When he finally let me go, I went straight to the common room and burst out crying. My male friends, also grad students, and my male advisor, who was  a good mentor but very non-confrontational, all told me to let it go and avoid the guy in the future. I ran into this man in the hallway that same afternoon and he acted like nothing had happened. He ended up on my dissertation committee and used the parts of my MA thesis that I wrote under him as a resource for his own work without ever giving me any credit. Years later, he was suspended for both threatening colleagues and sexual harassment. He is still employed by the university and routinely gets described as ""irreverent"" and ""colorful"" in interviews. He's a jerk. 2) At a post-conference pub night, filled with conference goers, a much older, very senior faculty member corners me to ""talk"" and proceeds to stare at my chest in such a pronounced way that my (male) friend comes over with two beers and stands between the guy and me. My friend pretended I had asked him to get one for me, but he actually did it when he saw my face because I looked so uncomfortable. ",PhD student,Very senior,Other R1,,Anthropology,,"None at the time, years later one of these men was suspended for other incidents. ","He was suspended, eventually retained an affiliation but left on his own to another institution. He remains influential, invited to give talk, interviews, etc.",None,"Several months of anxiety, after that it was mostly discomfort whenever he was around.","It has made me much more conscious of the issue of sexual harassment and how it can derail someone's career. I ended up switching careers for different but somewhat related reasons, but I'm still doing research in something related to my field. It's not that way for everyone.",,Man,43164612261,no,Other,Anthropology,Anthropology,Phd Student,Phd,Other R1,,23,,Anthropology
3/5/2018 13:57:39,"I was paired with a teaching mentor to help me develop materials to teach my first two section of freshman English. We had a group meeting and broke off to discuss our materials. After the meeting, my mentor asked me to come back with him to his office in the back of the department. No one else was in the hallway when we walked into his office and he asked me to shut the door behind me. I hesitated but ultimately did what he asked. He asked me to sit down and he began telling me how he intends to be fully available to me as I transition into teaching, which to me, was the entire premise of him being assigned to me as my mentor and did not need to be said to me in private. I never set up a meeting with him again. ",Second-year Master's student,"Instructor, pushing 40, getting his PhD from another institution ",Other R1,,,,I had another mandatory meeting during which a supervisor sat with me so we wouldn't be alone,None,I don't have intentions of working one-on-one with a male professor,,Will make sure to not be alone with male authority figures,,Man,43164581703,yes,Other,,,Second-Year Master'S Student,Second,Other R1,,24,,
3/3/2018 5:06:16,"A grad was in the final year of completing his dissertation. The professor who was the committee chair went abroad on sabbatical. The large timezone difference made it difficult to keep in touch other than via email. As a way to stay motivated without regular meetings with the chair, the grad turned to a writing support group. The group was mainly other grads, but there was one female assistant professor who hung around the grads. She seduced the grad into letting her ""help"" him publish one of his dissertation chapters, which she told him would be easy to do in a journal edited by a female friend of hers (who some years before had been an associate professor in the department). All she wanted in return was to be the co-author on the article. To be clear, she was not a member of his dissertation committee, had not been involved in the research at any stage, was not a Co-PI on any of the project funding, and was not even in the same discipline (it's a joint department). All she had done was some copy editing and write a new paragraph for the introduction to reorient the research to her field that, unsurprisingly, was entirely unsuited to the research design. The grad naively did as she told him and submitted the manuscript to the journal (with him as first author and her as second) and kept the submission from the committee chair. When he returned from sabbatical, someone else in the writing group told him what was going on. He told the grad that what he was doing with the assistant professor was completely unacceptable, inappropriate, and unethical, and that he must write the editor to withdraw the submission. The grad told the assistant professor and she put up major resistance and even refused to discuss the matter with the committee chair. She was supported by the female editor and another female associate professor in the department with a rumor campaign that the patriarchy was trying to abuse graduate students by poaching their research and that the committee chair was behaving unethically by refusing to allow her to “mentor” the grad. The grad student was distraught, and like many grads quite naive about the ethics of publishing, but after the committee chair pointed out that the assistant professor had not asked the grad to collaborate with her on coauthoring publications deriving from her dissertation, which she was then in the process of trying to publish, he began to see how he had been lured into an extremely unequal and exploitative relationship with a manipulative assistant professor. He remembered that it was the committee chair who had supported and guided his research for many years, intellectually and financially, apologized for his naivete, and began to get back on track with the plan to complete his dissertation. At the same time, he still had a relationship with the female assistant professor that he wanted to maintain. And the assistant professor was intransigent that it was her right to have relationships with grads she was not on the committee of, “mentor"" them, and coauthor articles derived from their dissertations. Just as the committee chair was going to report the situation to HR and others, including the journal publisher's legal department, three highly negative reviews came back. Even the conspiring editor could not cover up that degree of rejection. Apparently, wonder of wonders, the reviewers thought the data were excellent but required a completely different analytical approach to become acceptable for publication in their field. With the adulterated manuscript rejected by the reviewers, the female editor used that turn of events as an excuse to withdraw her participation in the plan to poach the grad's research and escape possible repercussions from the journal publisher’s legal department. With an easy publication no longer in sight, the female assistant professor dropped the grad like a hot potato. The committee chair did not file official complaints with HR or the journal publisher. He wanted to in order to protect other grads from being similarly exploited in future, but ultimately he realized that his primary responsibility was to his current student, who had apologized profusely for his naive behavior. Filing complaints could create future difficulties for the student just as he was starting out on his career. Out of the same fears, the grad also did not file a complaint with HR. So, in the end, the grad did what he should have done in the first place -- he worked with his committee chair to finalize analysis of the data, finished writing the dissertation, graduated, published dissertation chapters in journals, and got a tenure-track position.",male grad and male full professor,"female assistant professor, female associate professor, and female editor",Other R1,Louisiana State U,,,,"None of the women involved have had any impact on their careers so far, have never apologized, and have never wanted to talk about it. The lack of apology or even willingness to discuss it and give their side of the story indicates that either they have learned nothing and remain intransigent deplorables or that they now realize that they acted in a highly inappropriate manner and are embarrassed by it. Regarding her tenure case, the assistant professor will be better off with one fewer article than with an unethical one when she comes up. The editor has suffered some damage to her reputation. The associate professor who advised the assistant professor to act in such a deplorable manner continues to focus more on expressing her indignity at the patriarchy than on publishing enough to apply for promotion.","Nothing for either the grad or the committee chair except for a nasty rumor mill, which can be a useful weapon of the weak but, in this case, is a weapon of the deplorables.","It caused a great deal of stress for the grad but does not seem to have had any persistent impacts, since his career and romantic life ultimately worked out wonderfully, with a position as an assistant professor and marriage. Nothing for the committee chair, who was very happy to graduate another wonderful PhD student despite the best efforts of the assistant professor to sacrifice his career just so she could get another publication onto her CV by any means necessary.",Nothing,"Some women are using #TimesUp and #MeToo as cover for their abuses of power. Their hypocrisy should disgust all of us who are genuinely concerned about doing something about sexual harassment and patriarchy. Those are real, serious, and hurtful to many. We must all understand what many women are subjected to and that some of our male colleagues are sexual predators. But the way forward is in all of us working together to improve and punish those predators, not in some women engaging in equally despicable predatory behavior and rationalizing it as somehow fighting back when it's really just about their own personal gain.",Woman,43162212680,no,Other,,,male grad and male full professor,Male,Other R1,Louisiana State U,25,Louisiana State,
3/2/2018 9:45:58,"I was sexually assaulted at a conference in the hotel. The colleague had sex with me while I had passed out. When I tried to say the next day that it was not ok, he dismissed me.",grad student,full professor,Other R1,,History,,I told my doctoral advisor and they told me I needed to be more careful.,I have to be careful at conferences in my field not to stay alone in a hotel room (I usually share or stay elsewhere); I need to watch out not to have him review my work.,,not great. I have nightmares.,,,Man,43161406919,yes,Other,History,History,Grad Student,Grad,Other R1,,26,,History
